country_code,country,year,month,tempdiff
BGR,Bulgaria,2013,3,1.4469999999999998
BGR,Bulgaria,2013,4,2.335
BGR,Bulgaria,2013,5,2.858
BGR,Bulgaria,2013,6,1.2790000000000001
BGR,Bulgaria,2013,7,0.9590000000000001
BGR,Bulgaria,2013,8,2.5180000000000002
BGR,Bulgaria,2013,9,0.391
BGR,Bulgaria,2013,10,0.6729999999999999
BGR,Bulgaria,2013,11,2.225
BGR,Bulgaria,2013,12,-0.5760000000000001
BGR,Bulgaria,2014,1,3.577
BGR,Bulgaria,2014,2,3.029
BGR,Bulgaria,2014,3,3.6210000000000004
BGR,Bulgaria,2014,4,1.14
BGR,Bulgaria,2014,5,0.23399999999999999
BGR,Bulgaria,2014,6,0.258
BGR,Bulgaria,2014,7,0.8340000000000001
BGR,Bulgaria,2014,8,1.5759999999999998
BGR,Bulgaria,2014,9,0.653
BGR,Bulgaria,2014,10,0.28300000000000003
