Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Australia,Aug-10,1453.335,14207.784,165.18400000000003,0.083,1671.9560000000001,4154.122,,,247.449,,,84.458,574.758,,,19.11
Australia,Aug-11,1245.491,13969.061000000002,237.59099999999998,0.083,1332.328,3945.5609999999997,,,11.446,,,141.067,509.829,,,16.726
Australia,Aug-12,1182.985,12866.337,246.108,0.083,1963.469,4030.572,,,352.89,,,210.90200000000002,752.073,,,28.136
Australia,Aug-13,960.443,11993.048,272.38,0.083,1808.19,3996.303,,,15.959000000000001,,,243.30200000000002,1180.731,,,13.85
Australia,Aug-14,1141.621,12950.639,283.17900000000003,0.083,1438.076,4568.512,,,20.730999999999998,,,304.765,677.6089999999999,,,22.002
Australia,Aug-15,816.7916,13123.7385,261.1091,0.0,1714.6649,3796.6485,,,492.0402,,,346.6305,1227.6664,,,26.2334
Australia,Aug-16,1111.993,13611.192,303.218,0.083,1683.0829999999999,3125.285,,,50.98,,,560.78,1151.781,,,43.614
Australia,Aug-17,878.1252,12677.1188,328.8829,0.0,1554.1563,4241.119000000001,,,443.2751,,,678.4241,1400.5912,,,40.2735
Australia,Aug-18,876.3862,12145.9133,265.9765,0.0,2075.8003,3917.3826,0.0,0.0,352.1619,0.0,0.0,1000.378,1862.2726,0.0,0.0,47.7974
Australia,Aug-19,836.2217,11653.2467,260.6585,0.0,1508.9879999999998,4548.7949,0.0,0.0,424.3243,0.0,0.0,1471.62,1939.7441,0.0,0.0,58.6886
Australia,Aug-20,838.3136,11582.3359,243.135,0.0,1268.5871,4283.3729,0.0,0.0,349.7987,0.0,0.0,1756.4586,2249.399,0.0,0.0,54.8951
Australia,Aug-21,956.6238,10981.4369,260.1933,0.0,1447.433,3825.7274,0.0,0.0,358.2577,0.0,0.0,2471.103,2543.3373,0.0,0.0,71.0923
Australia,Aug-22,1001.2738,10567.1719,238.6517,,1528.9465,4147.2216,,,388.3638,,,2795.6241,3237.8667,,,75.0959
Australia,Dec-10,1326.756,12764.666000000001,165.18400000000003,0.083,1643.899,3953.514,,,60.7,,,175.143,562.097,,,18.789
Australia,Dec-11,1156.634,13114.885,237.59099999999998,0.083,904.043,3927.453,,,12.819,,,292.535,539.034,,,11.349
Australia,Dec-12,1108.805,12577.106000000002,246.108,0.083,1159.981,3957.345,,,947.424,,,437.355,760.075,,,16.622
Australia,Dec-13,926.515,11734.61,272.38,0.083,1690.361,4034.518,,,162.27700000000002,,,504.54400000000004,742.1419999999999,,,12.948
Australia,Dec-14,1076.69,12521.548999999999,283.17900000000003,0.083,797.707,4420.5,,,1204.943,,,632.001,901.387,,,12.204
Australia,Dec-15,800.1073,12912.4159,296.3919,0.0,1058.963,4309.6764,,,558.5279,,,532.3385,1083.3326,,,16.2015
Australia,Dec-16,1067.155,12973.815,278.254,0.083,1466.037,2913.24,,,123.921,,,830.5930000000001,1074.389,,,37.99
Australia,Dec-17,863.7025,12834.9794,323.4798,0.0,786.0822,4361.0607,,,455.8112,,,1009.2816,1206.5689,,,20.3701
Australia,Dec-18,854.3775,12399.122,253.6976,0.0,1301.5345,3662.7906,0.0,0.0,329.2748,0.0,0.0,1653.8851,1515.2226,0.0,0.0,29.9692
